,Healthgrades,RateMDs.com,UCompareHealthCare,Webmd.com,Zocdoc.com,Vitals,Infofree,Google Search Engine Page Result,Wikipedia page,Google Review,Facebook,Twitter,LinkedIn,Google Plus,Yellow pages,Yelp,,,,Glassdoor,Global Score,Alexa Ranking,Dmoz Listning
,(Rating on a scale of 5),(Rating on a scale of 5 and reviews),(Rating on a scale of 5),,(Rating on a scale of 5),(Rating on a scale of 5 and reviews),(Rating on a scale of 5 and reviews),,,(Rating on a scale of 5),(Likes and Rating on a scale of 5 ),(Follower),(Follower or Connections),(Follower),(Rating on a scale of 5),Yelp Rating,Yelp Reviews,Yelp Good Reviews,Yelp Bad Reviews,(Rating on a scale of 5),(in percentage),,(Rating on a scale of 5)
Dr. Walter Gang,0,0,0,Not listed,0,0,Not available,No website,Not available,0/5,Not available,Not available,Not available,0,Not available,0,0,,0,Not available,Not available,Not available,Not available
Dr. Damian W. Sorvino,3.3/5,"Rating 2.56/5
Good Reviews 9
Bad Reviews 13",3.5/5,Listed,0,"Vitals Rating 3.0/5
Good Reviews - 4
Bad Reviews - 4
",Not available,Official Website Ranked No. 1 (http://www.advocaredoctors.com/ENTMorristown/),Not available,0/5,Not available,Not available,Not available,0,0,0,0,0,0,Not available,64.93%,"638749th most visited website in the world.
104080th most visited website in United States",Missing
Dr. WJ Chermack,3.9/5,Not available,Not available,Listed,Not available,Not available,Not available,No website,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,,,
Dr. Lucy Chen,3.6/5,3.89/5,2.5/5,Listed,Not available,"Vitals Rating 3.0/5
Good Reviews 3
Bad Reviews 8",Not available,No website,Not available,0,Not available,Not available,Not available,0,0,3*/5,2,1,1,Not available,,,
Dr. Lyle Back,3.4/5,1.5*/5,Rating 0,Listed,Not available,"Vitals Rating 3.5/5
Good Reviews 10
Bad Reviews 8",Not available,Official Website Ranked No. 1 (http://ilovelyleback.com/),Not available,0,"418 likes, 4.7*/5",137,219 connections,23,1*/5,3*/5,5,3,2,Not available,65.80%,11119623th most visited website in the world.,Missing
Dr. Jason Pecarsky,3.1/5,3.06*/5,3.5/5,0,0,"Vitals Rating 3.5/5
Good Reviews 7
Bad Reviews 3",Not available,No website,Not available,0,Not available,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,,,
Dr. Ramin Bahram,3*/5,3.06*/5,0,Listed,Listed,"Vitals Rating 3/5
Good Reviews 1
Bad Reviews 1",Not available,Official Website Ranked No. 1 (http://www.oralsurgerypa.com/meet-us/ramin-bahram-dmd.html),Not available,0,0,Not available,Not available,0,1*/5,2.5/5,3,1,2,Not available,71.96%,"5373098th most visited website in the world.
636572th most visited website in United States",Missing
Dr. Bryan W. Finnelly,2.6/5,2.28/5,Not available,Listed,Not available,"Vitals Rating 2.5/5
Good Reviews 5
Bad Reviews 11",Not available,Official Website Ranked No. 1 (http://www.bryanfennellychildpsychiatry.com/),Not available,"3, 1*/5",10,Not available,Not available,0,Not available,1*/5,2,0,2,Not available,59.27%,Your website is not popular enough to be ranked.,Missing
Dr. Mumneh Nayla,4.4/5,4.2*/5,Not available,Listed,Not available,"Vitals Rating 4/5
Good Reviews 0
Bad Reviews 1",Not available,Official Website Ranked No. 1 (http://www.allergytreatmentcenter.net/),Not available,0,0,Not available,48,0,0,Not available,Not available,Not available,Not available,Not available,48.10%,23064077th most visited website in the world.,Missing
Dr. Joseph Strauch,3*/5,2*/5,Not available,Listed,Not available,"Vitals Rating 3/5
Good Reviews 7
Bad Reviews 9","Infofree review 0
Business credit rating 90/100",Official Website Ranked No. 1 (http://www.josephstrauchmd.com/),Not available,"10, 3.5*/5",12,64,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,60.76%,Your website is not popular enough to be ranked.,Missing
Dr. Sun Lee,Not available,3.5*/5,4*/5,Listed,Not available,"Vitals Rating 4.5/5
Good Reviews 7
Bad Reviews 3",Not available,No website,Not available,0,Not available,Not available,Not available,0,Not available,2*/5,4,1,3,Not available,,,